team,attendance,Attend/G,Est. Payroll,Season
San Francisco Giants,3181023.0,39272.0,90199500.0,2005
Seattle Mariners,2725459.0,33648.0,87754334.0,2005
St. Louis Cardinals,3538988.0,43691.0,92106833.0,2005
Tampa Bay Devil Rays,1141669.0,14095.0,29679067.0,2005
Texas Rangers,2525221.0,31176.0,55849000.0,2005
Toronto Blue Jays,2014995.0,24876.0,45719500.0,2005
Washington Nationals,2731993.0,33728.0,48581500.0,2005
Arizona Diamondbacks,2091685.0,25823.0,59984226.0,2006
Atlanta Braves,2550524.0,31488.0,90156876.0,2006
Baltimore Orioles,2153139.0,26582.0,72585582.0,2006
Boston Red Sox,2930588.0,36180.0,120099824.0,2006
Chicago Cubs,3123215.0,38558.0,94424499.0,2006
Chicago White Sox,2957414.0,36511.0,102750667.0,2006
Cincinnati Reds,2134607.0,26353.0,60909519.0,2006
Cleveland Indians,1997995.0,24667.0,56031500.0,2006
Colorado Rockies,2104362.0,25980.0,41233000.0,2006
Detroit Tigers,2595937.0,32049.0,82612866.0,2006
Florida Marlins,1164134.0,14372.0,14671500.0,2006
Houston Astros,3022763.0,37318.0,100894435.0,2006
Kansas City Royals,1372638.0,16946.0,47694000.0,2006
Los Angeles Angels of Anaheim,3406790.0,42059.0,103472000.0,2006
Los Angeles Dodgers,3758545.0,46402.0,98447187.0,2006
Milwaukee Brewers,2335643.0,28835.0,57970333.0,2006
Minnesota Twins,2285018.0,28210.0,63396006.0,2006
New York Mets,3379535.0,41723.0,101584963.0,2006
New York Yankees,4248067.0,52445.0,194663079.0,2006
Oakland Athletics,1976625.0,24403.0,64843079.0,2006
Philadelphia Phillies,2701815.0,33356.0,88273333.0,2006
Pittsburgh Pirates,1861549.0,22982.0,46717750.0,2006
San Diego Padres,2659757.0,32837.0,69896141.0,2006
San Francisco Giants,3130313.0,38646.0,90056419.0,2006
Seattle Mariners,2481165.0,30632.0,87959833.0,2006
St. Louis Cardinals,3407104.0,42589.0,88891371.0,2006
Tampa Bay Devil Rays,1368950.0,16901.0,34917967.0,2006
Texas Rangers,2388757.0,29491.0,68228662.0,2006
Toronto Blue Jays,2302212.0,28422.0,71365000.0,2006
Washington Nationals,2153056.0,26581.0,63143000.0,2006
Arizona Diamondbacks,2325249.0,28707.0,52067546.0,2007
Atlanta Braves,2745207.0,33891.0,87290833.0,2007
Baltimore Orioles,2164822.0,26726.0,93174808.0,2007
Boston Red Sox,2970755.0,36676.0,143026214.0,2007
Chicago Cubs,3252462.0,40154.0,101670332.0,2007
Chicago White Sox,2684395.0,33141.0,108671833.0,2007
Cincinnati Reds,2058593.0,25415.0,68524980.0,2007
Cleveland Indians,2275912.0,28449.0,61673267.0,2007
Colorado Rockies,2376250.0,28979.0,54041000.0,2007
Detroit Tigers,3047133.0,37619.0,95180369.0,2007
Florida Marlins,1370511.0,16920.0,30507000.0,2007
Houston Astros,3020405.0,37289.0,87759000.0,2007
Kansas City Royals,1616867.0,19961.0,67691500.0,2007
Los Angeles Angels of Anaheim,3365632.0,41551.0,109251333.0,2007
Los Angeles Dodgers,3857036.0,47618.0,108454524.0,2007
Milwaukee Brewers,2869144.0,35422.0,70986500.0,2007
Minnesota Twins,2296383.0,28350.0,71439500.0,2007
New York Mets,3853955.0,47580.0,116181663.0,2007
New York Yankees,4271083.0,52729.0,207039045.0,2007
Oakland Athletics,1921844.0,23726.0,79366940.0,2007
